"日付け","終値","始値","高値","安値","前日比%"
"2021年04月29日","108.91","108.60","109.23","108.43","0.29%"
"2021年04月28日","108.59","108.74","109.08","108.57","-0.08%"
"2021年04月27日","108.68","108.07","108.78","108.07","0.56%"
"2021年04月26日","108.08","107.99","108.21","107.64","0.16%"
"2021年04月23日","107.91","107.96","108.15","107.47","-0.05%"
"2021年04月22日","107.96","108.07","108.24","107.81","-0.08%"
"2021年04月21日","108.05","108.10","108.29","107.88","-0.03%"
"2021年04月20日","108.08","108.15","108.55","107.96","-0.06%"
"2021年04月19日","108.15","108.78","108.84","108.01","-0.57%"
"2021年04月16日","108.77","108.78","108.97","108.61","0.03%"
"2021年04月15日","108.74","108.92","108.99","108.61","-0.16%"
"2021年04月14日","108.91","109.07","109.10","108.75","-0.13%"
"2021年04月13日","109.05","109.38","109.76","109.01","-0.29%"
"2021年04月12日","109.37","109.68","109.78","109.24","-0.26%"
"2021年04月09日","109.65","109.25","109.96","109.20","0.38%"
"2021年04月08日","109.24","109.86","109.91","109.00","-0.55%"
"2021年04月07日","109.84","109.75","109.96","109.57","0.09%"
"2021年04月06日","109.74","110.17","110.57","109.67","-0.39%"
"2021年04月05日","110.17","110.63","110.75","109.96","-0.49%"
"2021年04月02日","110.71","110.63","110.75","110.36","0.10%"
"2021年04月01日","110.60","110.75","110.86","110.54","-0.09%"
"2021年03月31日","110.70","110.36","110.97","110.26","0.33%"
"2021年03月30日","110.34","109.79","110.43","109.75","0.51%"
"2021年03月29日","109.78","109.65","109.86","109.37","0.13%"
"2021年03月26日","109.64","109.18","109.86","109.13","0.43%"
"2021年03月25日","109.17","108.74","109.24","108.71","0.41%"
"2021年03月24日","108.72","108.59","108.96","108.44","0.15%"
"2021年03月23日","108.56","108.85","108.89","108.40","-0.25%"
"2021年03月22日","108.83","108.86","108.96","108.51","-0.04%"
"2021年03月19日","108.87","108.89","109.13","108.61","-0.01%"
"2021年03月18日","108.88","108.85","109.31","108.63","0.05%"
"2021年03月17日","108.83","109.00","109.33","108.75","-0.14%"
"2021年03月16日","108.98","109.13","109.29","108.77","-0.13%"
"2021年03月15日","109.12","109.07","109.37","108.91","0.11%"
"2021年03月12日","109.00","108.50","109.17","108.49","0.47%"
"2021年03月11日","108.49","108.38","108.82","108.36","0.10%"
"2021年03月10日","108.38","108.47","108.93","108.33","-0.07%"
"2021年03月09日","108.46","108.89","109.25","108.41","-0.37%"
"2021年03月08日","108.86","108.40","108.95","108.31","0.48%"
"2021年03月05日","108.34","107.97","108.64","107.82","0.34%"
"2021年03月04日","107.97","107.00","107.99","106.96","0.92%"
"2021年03月03日","106.99","106.68","107.16","106.68","0.30%"
"2021年03月02日","106.67","106.76","106.96","106.67","-0.07%"
"2021年03月01日","106.75","106.57","106.89","106.36","0.16%"
"2021年02月26日","106.58","106.22","106.70","105.85","0.35%"
"2021年02月25日","106.21","105.89","106.41","105.83","0.33%"
"2021年02月24日","105.86","105.25","106.11","105.18","0.59%"
"2021年02月23日","105.24","105.07","105.43","104.92","0.17%"
"2021年02月22日","105.06","105.42","105.85","104.98","-0.35%"
"2021年02月19日","105.43","105.69","105.75","105.24","-0.22%"
"2021年02月18日","105.66","105.88","105.93","105.60","-0.18%"
"2021年02月17日","105.85","106.04","106.22","105.78","-0.18%"
"2021年02月16日","106.04","105.39","106.07","105.18","0.65%"
"2021年02月15日","105.36","105.00","105.43","104.93","0.41%"
"2021年02月12日","104.93","104.75","105.19","104.72","0.20%"
"2021年02月11日","104.72","104.58","104.81","104.55","0.14%"
"2021年02月10日","104.57","104.60","104.85","104.41","0.00%"
"2021年02月09日","104.57","105.22","105.28","104.50","-0.62%"
"2021年02月08日","105.22","105.39","105.68","105.15","-0.13%"
"2021年02月05日","105.36","105.53","105.78","105.33","-0.17%"
"2021年02月04日","105.54","105.02","105.57","104.97","0.50%"
"2021年02月03日","105.01","104.97","105.11","104.92","0.04%"
"2021年02月02日","104.97","104.93","105.18","104.82","0.06%"
"2021年02月01日","104.91","104.68","105.04","104.61","0.22%"
"2021年01月29日","104.68","104.24","104.95","104.21","0.45%"
"2021年01月28日","104.21","104.11","104.47","104.06","0.12%"
"2021年01月27日","104.09","103.62","104.21","103.58","0.47%"
"2021年01月26日","103.60","103.74","103.83","103.55","-0.13%"
"2021年01月25日","103.73","103.79","103.94","103.67","-0.04%"
"2021年01月22日","103.77","103.50","103.89","103.47","0.28%"
"2021年01月21日","103.48","103.54","103.67","103.32","-0.04%"
"2021年01月20日","103.52","103.90","103.95","103.44","-0.36%"
"2021年01月19日","103.89","103.68","104.10","103.65","0.19%"
"2021年01月18日","103.69","103.76","103.94","103.63","-0.17%"
"2021年01月15日","103.87","103.81","103.92","103.61","0.08%"
"2021年01月14日","103.79","103.89","104.21","103.56","-0.06%"
"2021年01月13日","103.85","103.75","104.00","103.53","0.10%"
"2021年01月12日","103.75","104.28","104.35","103.72","-0.47%"
"2021年01月11日","104.24","103.89","104.40","103.83","0.30%"
"2021年01月08日","103.93","103.79","104.10","103.61","0.13%"
"2021年01月07日","103.80","103.04","103.96","102.95","0.74%"
"2021年01月06日","103.04","102.75","103.45","102.58","0.31%"
"2021年01月05日","102.72","103.13","103.19","102.60","-0.37%"
"2021年01月04日","103.10","103.18","103.32","102.71","-0.10%"
"2021年01月01日","103.20","103.25","103.25","103.21","-0.04%"
"2020年12月31日","103.24","103.18","103.32","102.99","0.07%"
"2020年12月30日","103.17","103.58","103.61","102.96","-0.38%"
"2020年12月29日","103.56","103.79","103.85","103.46","-0.21%"
"2020年12月28日","103.78","103.54","103.90","103.39","0.29%"
"2020年12月25日","103.48","103.64","103.69","103.39","-0.14%"
"2020年12月24日","103.63","103.57","103.77","103.50","0.08%"
"2020年12月23日","103.55","103.64","103.66","103.36","-0.08%"
"2020年12月22日","103.63","103.32","103.75","103.28","0.32%"
"2020年12月21日","103.30","103.39","103.89","103.25","-0.01%"
"2020年12月18日","103.31","103.13","103.60","103.10","0.20%"
"2020年12月17日","103.10","103.50","103.57","102.88","-0.37%"
