Date,Open,High,Low,Close
1971-01-04,357.73,357.73,357.73,357.73
1971-01-05,357.81,357.81,357.81,357.81
1971-01-06,357.87,357.87,357.87,357.87
1971-01-07,357.87,357.87,357.87,357.87
1971-01-08,357.83,357.83,357.83,357.83
1971-01-11,357.97,357.97,357.97,357.97
1971-01-12,358.04,358.04,358.04,358.04
1971-01-13,358.46,358.46,358.46,358.46
1971-01-14,358.39,358.39,358.39,358.39
1971-01-15,358.4,358.4,358.4,358.4
1971-01-18,358.27,358.27,358.27,358.27
1971-01-19,358.36,358.36,358.36,358.36
1971-01-20,358.42,358.42,358.42,358.42
1971-01-21,358.28,358.28,358.28,358.28
1971-01-22,357.91,357.91,357.91,357.91
1971-01-25,357.74,357.74,357.74,357.74
1971-01-26,357.78,357.78,357.78,357.78
1971-01-27,357.79,357.79,357.79,357.79
1971-01-28,357.82,357.82,357.82,357.82
1971-01-29,357.71,357.71,357.71,357.71
1971-02-01,357.65,357.65,357.65,357.65
1971-02-02,357.54,357.54,357.54,357.54
1971-02-03,357.53,357.53,357.53,357.53
1971-02-04,357.49,357.49,357.49,357.49
1971-02-05,357.51,357.51,357.51,357.51
1971-02-08,357.48,357.48,357.48,357.48
1971-02-09,357.49,357.49,357.49,357.49
1971-02-10,357.49,357.49,357.49,357.49
1971-02-11,357.49,357.49,357.49,357.49
1971-02-16,357.52,357.52,357.52,357.52
1971-02-17,357.52,357.52,357.52,357.52
1971-02-18,357.51,357.51,357.51,357.51
1971-02-19,357.58,357.58,357.58,357.58
1971-02-22,357.61,357.61,357.61,357.61
1971-02-23,357.55,357.55,357.55,357.55
1971-02-24,357.59,357.59,357.59,357.59
1971-02-25,357.58,357.58,357.58,357.58
1971-02-26,357.57,357.57,357.57,357.57
1971-03-01,357.61,357.61,357.61,357.61
1971-03-02,357.54,357.54,357.54,357.54
1971-03-03,357.47,357.47,357.47,357.47
1971-03-04,357.47,357.47,357.47,357.47
1971-03-05,357.6,357.6,357.6,357.6
1971-03-08,357.55,357.55,357.55,357.55
1971-03-09,357.47,357.47,357.47,357.47
1971-03-10,357.6,357.6,357.6,357.6
1971-03-11,357.57,357.57,357.57,357.57
1971-03-12,357.59,357.59,357.59,357.59
1971-03-15,357.55,357.55,357.55,357.55
1971-03-16,357.5,357.5,357.5,357.5
1971-03-17,357.54,357.54,357.54,357.54
1971-03-18,357.57,357.57,357.57,357.57
1971-03-19,357.55,357.55,357.55,357.55
1971-03-22,357.43,357.43,357.43,357.43
1971-03-23,357.51,357.51,357.51,357.51
1971-03-24,357.51,357.51,357.51,357.51
1971-03-25,357.49,357.49,357.49,357.49
1971-03-26,357.45,357.45,357.45,357.45
1971-03-29,357.42,357.42,357.42,357.42
1971-03-30,357.48,357.48,357.48,357.48
1971-03-31,357.41,357.41,357.41,357.41
1971-04-01,357.47,357.47,357.47,357.47
1971-04-02,357.51,357.51,357.51,357.51
1971-04-05,357.48,357.48,357.48,357.48
1971-04-06,357.48,357.48,357.48,357.48
1971-04-07,357.57,357.57,357.57,357.57
1971-04-08,357.53,357.53,357.53,357.53
1971-04-09,357.52,357.52,357.52,357.52
1971-04-12,357.52,357.52,357.52,357.52
1971-04-13,357.6,357.6,357.6,357.6
1971-04-14,357.57,357.57,357.57,357.57
1971-04-15,357.49,357.49,357.49,357.49
1971-04-16,357.56,357.56,357.56,357.56
1971-04-19,357.47,357.47,357.47,357.47
1971-04-20,357.48,357.48,357.48,357.48
1971-04-21,357.47,357.47,357.47,357.47
1971-04-22,357.47,357.47,357.47,357.47
1971-04-23,357.48,357.48,357.48,357.48
1971-04-26,357.49,357.49,357.49,357.49
1971-04-27,357.49,357.49,357.49,357.49
1971-04-28,357.5,357.5,357.5,357.5
1971-04-29,357.4,357.4,357.4,357.4
1971-04-30,357.4,357.4,357.4,357.4
